codigo_dane,municipio,tasa_incidencia,tasa_mortalidad
19130,CAJIBÍO,1313.0487,786.6961
25126,CAJICÁ,20807.9816,2252.2674
13140,"CALAMAR,BOLIVAR",2107.1444,720.3867
95015,"CALAMAR,GUAVIARE",3449.365,288.7153
63130,CALARCÁ,7787.6908,1894.8244
05129,CALDAS,18834.736,2503.9476
15131,CALDAS,3892.4756,549.4266
19137,CALDONO,1017.3303,453.8741
76001,CALI,17295.1616,3113.0101
68132,CALIFORNIA,6624.6999,493.3333
76126,CALIMA,7727.712,1809.0928
19142,CALOTO,4303.3455,1193.6224
05134,CAMPAMENTO,1538.3748,394.216
08137,CAMPO DE LA CRUZ,7020.3728,1504.7056
41132,CAMPOALEGRE,6455.983,2565.9445
15135,CAMPOHERMOSO,987.9537,731.5372
23090,CANALETE,6292.412,1465.5801
76130,CANDELARIA,5187.1949,1808.9355
08141,CANDELARIA,5576.0386,1113.2083
13160,CANTAGALLO,2269.1396,337.3403
25148,CAPARRAPÍ,2030.9841,319.1831
68147,CAPITANEJO,7304.3134,1663.5007
05142,CARACOLÍ,2693.8077,1161.3302
05145,CARAMANTA,3040.1354,1847.3666
68152,CARCASÍ,2500.4319,1130.3986
05147,CAREPA,7277.1048,3523.6246
73148,CARMEN DE APICALÁ,2914.6459,1595.0517
25154,CARMEN DE CARUPA,4164.478,2021.0381
27150,CARMEN DEL DARIÉN,179.5515,80.0
05150,CAROLINA,4710.3101,606.2688
13001,CARTAGENA DE INDIAS,15739.6229,2371.3012
18150,CARTAGENA DEL CHAIRÁ,3315.1651,2192.1527
76147,CARTAGO,9384.1174,2907.0338
97161,CARURÚ,3205.0156,0.0
73152,CASABIANCA,1763.6618,849.3486
50150,CASTILLA LA NUEVA,8121.7274,1626.0957
05154,CAUCASIA,7347.0222,3598.4295
05138,CAÑASGORDAS,3063.3172,1410.8451
68160,CEPITÁ,1497.8118,0.0
23162,CERETÉ,7515.8358,2351.9385
15162,CERINZA,4176.6022,1092.2043
68162,CERRITO,6267.8272,1648.8482
47161,CERRO DE SAN ANTONIO,2839.2092,586.9784
52240,CHACHAGÜÍ,4661.2798,1604.4439
25168,CHAGUANÍ,4830.2549,519.2487
70230,CHALÁN,4360.0039,599.8405
73168,CHAPARRAL,6220.0435,1575.5375
68167,CHARALÁ,5617.8897,1530.1755
68169,CHARTA,1798.3548,326.2376
05172,CHIGORODÓ,5971.0549,3151.3221
68176,CHIMA,2266.181,415.7143
20175,CHIMICHAGUA,1843.8715,792.3092
23168,CHIMÁ,2973.1834,640.6437
15172,CHINAVITA,2239.4319,0.0
17174,CHINCHINÁ,9656.5029,2534.0287
54172,CHINÁCOTA,5960.2881,2551.8785
23182,CHINÚ,6522.7733,1294.0397
25178,CHIPAQUE,4503.3039,2123.9051
